Timestamp,Algorithm,Size,Time_ms,,,,,,,,Sum:,34145910,,,
10/11/2025 16:27:26,Hunt & Kill,8x8,10873,,,,,,,,Written amt:,5244,,,
10/11/2025 16:28:39,Aldous-Broder,8x8,2816,,,,,,,,,,,,
10/11/2025 16:40:12,DFS,8x8,5068,,,,,,,,Avg. time each maze,6511.424485,,,
10/11/2025 16:49:07,Hunt & Kill,8x8,3492,,,,,,,,,,,,
10/11/2025 16:51:33,DFS,8x8,5283,,,,,,,,,amt.,time sum,,avg. time
10/11/2025 16:51:36,Aldous-Broder,8x8,3775,,,,,,,,Hunt & Kill,882,6948419,,7878.026077
10/11/2025 16:51:41,Hunt & Kill,8x8,2643,,,,,,,,DFS,886,7041652,,7947.688488
10/11/2025 16:51:44,Prim,8x8,2010,,,,,,,,Aldous-Broder,881,5377137,,6103.447219
10/11/2025 16:55:42,Prim,8x8,2641,,,,,,,,Prim,870,4615163,,5304.785057
10/11/2025 16:55:57,Hunt & Kill,8x8,16192,,,,,,,,Wilson,869,5236620,,6026.029919
10/11/2025 16:56:08,Kruskal,8x8,5830,,,,,,,,Kruskal,856,4926919,,5755.746495
10/11/2025 17:01:04,Wilson,8x8,7722,,,,,,,,,,,,
10/11/2025 17:04:20,Aldous-Broder,8x8,3130,,,,,,,,,,,,
10/11/2025 17:14:50,Kruskal,8x8,2814,,,,,,,,,,,,
10/11/2025 17:14:58,Hunt & Kill,8x8,7879,,,,,,,,,,,,
10/11/2025 17:15:02,Wilson,8x8,3091,,,,,,,,,,,,
10/11/2025 17:15:05,Prim,8x8,2359,,,,,,,,,,,,
10/11/2025 17:15:10,Aldous-Broder,8x8,4206,,,,,,,,,,,,
10/11/2025 17:15:16,DFS,8x8,5515,,,,,,,,,,,,
10/11/2025 17:15:21,Prim,8x8,4678,,,,,,,,,,,,
10/11/2025 17:15:25,Wilson,8x8,2920,,,,,,,,,,,,
10/11/2025 17:15:32,Kruskal,8x8,6060,,,,,,,,,,,,
10/11/2025 17:15:37,Hunt & Kill,8x8,4430,,,,,,,,,,,,
10/11/2025 17:15:44,DFS,8x8,5975,,,,,,,,,,,,
10/11/2025 17:15:49,Aldous-Broder,8x8,3237,,,,,,,,,,,,
10/11/2025 17:15:53,Kruskal,8x8,3916,,,,,,,,,,,,
10/11/2025 17:15:58,Wilson,8x8,3869,,,,,,,,,,,,
10/11/2025 17:16:01,Prim,8x8,3062,,,,,,,,,,,,
10/11/2025 17:16:08,Aldous-Broder,8x8,6075,,,,,,,,,,,,
10/11/2025 17:16:12,DFS,8x8,3095,,,,,,,,,,,,
10/11/2025 17:16:18,Hunt & Kill,8x8,5695,,,,,,,,,,,,
10/11/2025 17:16:23,Hunt & Kill,8x8,4645,,,,,,,,,,,,
10/11/2025 17:16:29,Kruskal,8x8,5310,,,,,,,,,,,,
10/11/2025 17:16:33,Wilson,8x8,3692,,,,,,,,,,,,
10/11/2025 17:16:39,Aldous-Broder,8x8,4376,,,,,,,,,,,,
10/11/2025 17:16:48,DFS,8x8,8796,,,,,,,,,,,,
10/11/2025 17:16:52,Prim,8x8,3677,,,,,,,,,,,,
10/11/2025 17:16:57,Aldous-Broder,8x8,3385,,,,,,,,,,,,
10/11/2025 17:17:03,DFS,8x8,4861,,,,,,,,,,,,
10/11/2025 17:17:13,Hunt & Kill,8x8,9743,,,,,,,,,,,,
10/11/2025 17:17:22,Kruskal,8x8,8048,,,,,,,,,,,,
10/11/2025 17:17:26,Wilson,8x8,3282,,,,,,,,,,,,
10/11/2025 17:17:29,Prim,8x8,2514,,,,,,,,,,,,
10/11/2025 17:17:33,Prim,8x8,3280,,,,,,,,,,,,
10/11/2025 17:17:41,DFS,8x8,6382,,,,,,,,,,,,
10/11/2025 17:17:45,Wilson,8x8,3682,,,,,,,,,,,,
10/11/2025 17:17:49,Hunt & Kill,8x8,3599,,,,,,,,,,,,
10/11/2025 17:17:54,Aldous-Broder,8x8,4345,,,,,,,,,,,,
10/11/2025 17:17:58,Kruskal,8x8,3262,,,,,,,,,,,,
10/11/2025 17:18:05,Kruskal,8x8,6597,,,,,,,,,,,,
10/11/2025 17:18:14,DFS,8x8,8829,,,,,,,,,,,,
10/11/2025 17:18:20,Aldous-Broder,8x8,4348,,,,,,,,,,,,
10/11/2025 17:18:25,Prim,8x8,4950,,,,,,,,,,,,
10/11/2025 17:18:29,Wilson,8x8,3201,,,,,,,,,,,,
10/11/2025 17:18:44,Hunt & Kill,8x8,14230,,,,,,,,,,,,
10/11/2025 17:18:50,Aldous-Broder,8x8,5630,,,,,,,,,,,,
10/11/2025 17:18:54,Wilson,8x8,3015,,,,,,,,,,,,
10/11/2025 17:19:02,Hunt & Kill,8x8,7032,,,,,,,,,,,,
10/11/2025 17:19:10,DFS,8x8,7824,,,,,,,,,,,,
10/11/2025 17:19:15,Prim,8x8,4267,,,,,,,,,,,,
10/11/2025 17:19:18,Kruskal,8x8,2550,,,,,,,,,,,,
10/11/2025 17:19:21,Wilson,8x8,2695,,,,,,,,,,,,
10/11/2025 17:19:29,Hunt & Kill,8x8,7679,,,,,,,,,,,,
10/11/2025 17:19:32,Aldous-Broder,8x8,2351,,,,,,,,,,,,
10/11/2025 17:19:41,Kruskal,8x8,7582,,,,,,,,,,,,
10/11/2025 17:19:48,DFS,8x8,7142,,,,,,,,,,,,
10/11/2025 17:19:53,Prim,8x8,4102,,,,,,,,,,,,
10/11/2025 18:21:56,Wilson,8x8,5419,,,,,,,,,,,,
10/11/2025 19:19:33,Prim,8x8,8345,,,,,,,,,,,,
10/11/2025 19:20:04,Wilson,8x8,16204,,,,,,,,,,,,
10/11/2025 19:20:20,DFS,8x8,10349,,,,,,,,,,,,
10/11/2025 19:20:29,Hunt & Kill,8x8,8413,,,,,,,,,,,,
10/11/2025 21:28:51,Hunt & Kill,8x8,3738,,,,,,,,,,,,
10/11/2025 21:28:56,Aldous-Broder,8x8,5750,,,,,,,,,,,,
10/11/2025 21:29:00,Kruskal,8x8,3254,,,,,,,,,,,,
10/11/2025 22:21:33,DFS,8x8,3497,,,,,,,,,,,,
10/11/2025 22:21:37,Kruskal,8x8,4538,,,,,,,,,,,,
10/11/2025 22:21:41,Aldous-Broder,8x8,3953,,,,,,,,,,,,
10/11/2025 22:21:51,Hunt & Kill,8x8,9035,,,,,,,,,,,,
